OP_absence,OP_exist,OP_rhythem,S_absence,S_exist,S_rhythem,pattern_diff,pattern_same
Aggregatibacter.actinomycetemcomitans_P09,Actinomyces.viscosus_P08,Caudovirales.sp._P26,Bacteroides.heparinolyticus_P27,Actinomyces.sp..ZJ34_P13,Aggregatibacter.sp..oral.taxon.513_P14,Gemella.haemolysans_P13,
Aggregatibacter.actinomycetemcomitans_P11,Actinomyces.viscosus_P09,Corynebacterium.matruchotii_P13,Campylobacter.showae_P18,Actinomyces.sp..ZJ34_P14,Aggregatibacter.sp..oral.taxon.513_P15,Gemella.haemolysans_P23,
Aggregatibacter.actinomycetemcomitans_P13,Actinomyces.viscosus_P11,Corynebacterium.matruchotii_P14,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P05,Actinomyces.sp..ZJ34_P15,Aggregatibacter.sp..oral.taxon.513_P16,Streptococcus.sp..NPS.308_P05,
Aggregatibacter.actinomycetemcomitans_P14,Actinomyces.viscosus_P13,Corynebacterium.matruchotii_P17,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P13,Actinomyces.sp..ZJ34_P16,Aggregatibacter.sp..oral.taxon.513_P17,Streptococcus.sp..VT.162_P05,
Aggregatibacter.actinomycetemcomitans_P15,Actinomyces.viscosus_P14,Corynebacterium.matruchotii_P19,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P16,Actinomyces.sp..ZJ34_P17,Aggregatibacter.sp..oral.taxon.513_P19,,
Aggregatibacter.actinomycetemcomitans_P17,Actinomyces.viscosus_P15,Corynebacterium.matruchotii_P20,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P18,Actinomyces.sp..ZJ34_P19,Aggregatibacter.sp..oral.taxon.513_P20,,
Aggregatibacter.actinomycetemcomitans_P18,Actinomyces.viscosus_P16,Corynebacterium.matruchotii_P21,Capnocytophaga.endodontalis_P05,Actinomyces.sp..ZJ34_P20,Aggregatibacter.sp..oral.taxon.513_P21,,
Aggregatibacter.actinomycetemcomitans_P19,Actinomyces.viscosus_P17,Corynebacterium.matruchotii_P22,Capnocytophaga.endodontalis_P06,Actinomyces.sp..ZJ34_P21,Aggregatibacter.sp..oral.taxon.513_P24,,
Aggregatibacter.actinomycetemcomitans_P20,Actinomyces.viscosus_P18,Corynebacterium.matruchotii_P24,Capnocytophaga.sp..FDAARGOS_737_P05,Actinomyces.sp..ZJ34_P22,Aggregatibacter.sp..oral.taxon.513_P26,,
Aggregatibacter.actinomycetemcomitans_P21,Actinomyces.viscosus_P19,Corynebacterium.matruchotii_P26,Capnocytophaga.sp..FDAARGOS_737_P06,Actinomyces.sp..ZJ34_P23,Campylobacter.concisus_P03,,
Aggregatibacter.actinomycetemcomitans_P23,Actinomyces.viscosus_P20,Corynebacterium.matruchotii_P27,Capnocytophaga.sp..FDAARGOS_737_P14,Actinomyces.sp..ZJ34_P24,Campylobacter.concisus_P05,,
Aggregatibacter.actinomycetemcomitans_P24,Actinomyces.viscosus_P21,Gemella.haemolysans_P03,Capnocytophaga.sp..FDAARGOS_737_P18,Actinomyces.sp..ZJ34_P25,Campylobacter.concisus_P07,,
